LeagueIndex,Age,HoursPerWeek,TotalHours,APM,SelectByHotkeys,AssignToHotkeys,UniqueHotkeys,MinimapAttacks,MinimapRightClicks,NumberOfPACs,GapBetweenPACs,ActionLatency,ActionsInPAC,TotalMapExplored,WorkersMade,UniqueUnitsMade,ComplexUnitsMade,ComplexAbilitiesUsed
1,22,12,100,66.8676,0.002616026,0.000321571,7,1.74E-05,0.000338954,0.003050582,75.7029,75.5442,3.4274,19,0.00051278,7,0.000208587,0.00017382
1,16,20,100,30.9402,0.000728032,0.000126614,1,0,0.000221575,0.002089137,73.5385,141.3939,2.5303,9,0.00063307,3,0,0
1,28,8,1000,75.6768,0.001511734,0.000220632,4,0.000187945,0.000457606,0.002958096,58.7922,79.4807,4.3646,28,0.001144,11,9.81E-05,7.35E-05
1,19,6,150,64.6416,0.000672344,0.000336172,1,0.000154079,0.000203104,0.002759413,53.5776,78.2944,4.2284,41,0.00063733,6,7.00E-05,6.30E-05
1,27,8,50,84.489,0.004560018,0.000266996,3,2.11E-05,0.000393468,0.003323403,76.7712,73.5307,3.7949,29,0.00063236,8,0,0
1,22,20,800,77.5146,0.001677363,0.000352489,5,4.86E-05,0.000449728,0.002977927,34.6066,80.1633,4.4245,15,0.00069282,5,0.000109393,6.08E-05
1,27,8,400,54.3882,0.001141184,0.000357341,1,1.15E-05,0.000219015,0.002651236,79.7729,87.3913,3.5043,17,0.00064552,7,0,0
1,17,8,40,37.3692,0.000464329,0.000191194,2,2.73E-05,0.000136567,0.001775374,84.8125,116.3692,3.7692,12,0.00057358,3,0,0
1,20,6,200,114.2166,0.002354029,0.000241708,10,7.36E-05,0.001828576,0.002364538,37.25,92.8711,8.68,21,0.0013031,6,0,3.15E-05
1,16,16,420,40.1292,0.000188987,0.000130837,4,2.18E-05,2.18E-05,0.001613654,129.9729,130.2523,4.7342,22,0.00027621,7,0.000181718,5.09E-05
1,28,8,320,56.9916,0.000844194,0.000488744,6,4.44E-05,0.000133294,0.002873223,36.9948,74.1031,3.433,12,0.00078495,4,0,0
1,18,8,400,62.1354,0.000581945,0.000109115,4,0,0.000127301,0.00323707,70.1017,72.5843,3.5,24,0.0014367,7,9.09E-05,0.00021823
1,21,12,900,67.4568,0.002910188,0.000722236,10,0,0.000955901,0.002952672,38.087,65.6403,3.2734,11,0.00097714,5,0,4.25E-05
1,19,10,50,61.6098,0.002206861,0.000251517,7,5.68E-05,0.00021095,0.002628761,86.2291,84.5802,3.608,30,0.00048681,8,0,0
1,17,8,350,87.5772,0.002132793,0.000495497,2,0,6.46E-05,0.00294067,30.8824,79.8095,4.8462,19,0.0010987,3,0,0
1,21,24,400,89.4918,0.002533883,0.000456688,6,1.47E-05,0.000368297,0.002460224,55.9277,95.1617,6.2575,18,0.0013995,7,7.37E-05,0.00033883
1,19,14,900,91.0182,0.002963836,0.00048152,5,1.66E-05,0.000157739,0.002847607,48.4678,71.1487,5.2187,16,0.00064756,6,0,0.00059775
1,19,42,450,220.0692,0.013081841,0.000230179,5,8.95E-05,6.39E-05,0.004245524,29.3897,42.5422,6.6747,22,0.0013555,7,0.000179028,0.00067775
1,16,42,1000,128.6142,0.00389175,0.000568794,3,0.000179619,0.000179619,0.002754161,24.7033,55.6087,7.3804,16,0.00056879,4,0,2.99E-05
1,26,20,650,88.5954,0.000153546,2.79E-05,4,0.000348967,0.000404802,0.002172902,61.7339,71.0921,7.6595,33,0.00026521,7,0,0
1,23,10,800,62.4576,0.002544438,0.000215023,0,0,0.000215023,0.001505161,77.0732,102.4762,5.7381,10,0.00086009,5,0,0
1,19,20,750,100.1742,0.000565694,0.000110679,2,2.46E-05,0.001020709,0.003283487,56.9023,65.8427,5.5618,24,0.0010945,7,0,0
1,21,20,125,60.594,0.00019382,0.00019382,1,8.31E-05,0.000415328,0.001550559,68.8727,134.2857,7.2321,14,0.00063684,4,0,0
1,22,6,400,93.1896,0.00573167,0.000143292,6,0,0.000121247,0.002590274,43.8462,88.034,4.6766,22,0.00057317,7,0,0
1,16,20,450,124.5054,0.003002681,0.000428954,5,0,0.000321716,0.003069705,32.0702,58.2533,6.821,21,0.0015952,8,0.000174263,0.00013405
1,21,6,848,75.5562,0.001473523,0.000162436,5,0.000266859,0.000382884,0.003318327,68.9263,69.9021,3.8531,23,0.00067295,8,0,0
1,32,6,450,57.4056,0.000866377,0.000272002,3,0,0,0.003767731,56.1287,73.2513,2.7112,25,0.00059437,5,0,0
1,31,10,300,84.6708,0.001426445,0.000310097,2,0.000345536,0.000141759,0.002808591,51.9241,75.5205,5.7192,24,0.00077967,9,6.20E-05,0
1,18,20,600,97.623,0.003566334,0.000337863,0,5.63E-05,0.000150161,0.002796757,49.5676,78.8993,5.349,22,0.00063819,5,0,0.00022524
1,23,12,300,98.652,0.001914385,0.000466923,2,1.87E-05,0.000457585,0.003072354,30.7439,72.1337,5.5046,28,0.00056031,10,2.80E-05,3.74E-05
1,18,12,600,83.01,0.00040292,2.37E-05,0,0,0.000355518,0.003033751,40.5039,72,5.0547,13,0.00061623,4,0,2.37E-05
1,26,6,730,101.526,0.002063474,0.000203441,6,0.000494071,0.001409556,0.00222332,30.4474,69.7516,7.7908,18,0.0013224,7,0,4.36E-05
1,24,10,60,71.7522,0.001606426,0.00021625,7,0,0.000262589,0.002270621,46.0274,87.9184,5.3537,28,0.0019771,5,0,0
1,18,28,690,94.2102,0.00197533,0.00056844,3,0,0.000270009,0.002359027,62.9333,72.1205,6.8072,17,0.00092372,6,0,0
1,16,42,200,125.0886,0.004558456,0.000585945,7,2.98E-05,0.000238351,0.004568387,46.5621,49.5913,4.0435,33,0.0025225,7,0,0
1,20,10,700,77.694,0.002174021,0.000472974,1,0,0.000215743,0.003074332,69.4973,72.1026,4.3063,22,0.00077999,9,0.000373401,0.0010704
1,21,10,100,61.6782,0.000977708,0.000195542,3,1.96E-05,0.000527963,0.001798983,92.3516,97.3913,6.1087,14,0.001095,5,0,0
1,21,10,150,95.5446,0.001307603,0.000220228,6,2.75E-05,0.000412927,0.003730111,42.5481,60.8413,4.4244,23,0.00097726,7,0,0
1,31,12,200,41.586,0.001057703,0.000168877,5,0.000195542,4.44E-05,0.001724322,130.2176,122.0206,4.0825,25,0.00062218,5,0,0
1,21,20,160,90.9126,0.001940627,0.000314696,2,0.000104899,0.000183573,0.002097976,32.9114,98.65,7.35,11,0.0010752,4,0,0
1,22,10,500,73.4838,0.003389016,0.000293537,7,0,0.000346907,0.0035091,54.7023,73.3536,3.0418,17,0.00070716,7,0,6.67E-05
1,30,6,150,67.0104,0.001970093,0.000432459,6,0,0.000336357,0.002527485,65.2977,91.0418,4.2319,20,0.0010763,5,0,0
1,17,8,250,62.5908,0.000918649,0.000280698,5,0.00012759,0.000995203,0.002143513,82.3614,89.9048,5.2024,14,0.00074002,3,0,0
1,17,6,50,80.1372,0.00164729,0.000603719,2,0,0.00030186,0.002923724,32.6627,67.6696,4.826,16,0.00070721,7,0.000439852,0.00022424
1,21,20,700,86.6694,0.001243918,0.000146343,4,0,0.000402444,0.002936011,31.8375,61.3209,5.4517,29,0.0010701,7,0.000246954,0.00073172
1,22,12,700,103.506,0.002190914,5.33E-05,4,3.80E-05,0.000190184,0.002769072,32.8375,72.4176,6.6099,24,0.00083681,9,0.000205398,0.00054773
1,26,8,400,59.3598,0.001733008,0.000544971,2,0,0.000152592,0.002550464,48.1545,83.2991,3.8376,29,0.00083926,7,0,0.00025069
1,33,10,750,31.5294,0.000149548,7.04E-05,6,0,7.92E-05,0.001935325,76.895,111.1818,3.0227,17,0.00038706,7,0,0
1,18,16,224,71.6574,0.001929123,0.000214347,3,0,0.000928837,0.002286368,35.746,73.8125,5.2031,16,0.00092884,4,0,0
1,16,12,500,49.4712,0.00018801,0.000134293,1,0,5.37E-05,0.002497851,34.087,69.0753,3.6667,9,0.00080576,3,0,0
1,17,14,200,130.5294,0.001481055,0.000340962,5,2.13E-05,0.000394238,0.004070238,59.79,60.2408,5.6204,22,0.0036547,11,0.000170481,0.00072455
1,19,20,500,110.001,0.002020722,0.000477625,5,5.51E-05,9.19E-05,0.003471967,48.1064,67.4497,5.5979,22,0.0010838,5,0,0
1,24,8,225,61.974,6.42E-05,0.000240771,10,0,0.000176565,0.003113965,48.7668,69.0309,3.7113,18,0.00049759,5,0,0
1,20,2,600,92.4972,0.001852879,0.000277302,4,1.26E-05,0.000478976,0.002747807,30.7465,71.3761,5.9037,27,0.00079409,7,3.78E-05,0.00013865
1,18,8,300,97.7454,0.003015201,0.000295831,3,0.000204806,0.000329965,0.002605589,38.2105,84.2969,6.3144,20,0.0014336,6,0,0
1,16,6,670,56.6298,0.000529815,0.000267696,1,5.58E-06,3.35E-05,0.001868294,102.5269,111.1761,5.5075,23,0.00050751,9,5.02E-05,0.00019519
1,18,16,800,98.8422,0.006238811,0.000298378,1,0.000122064,0.000488255,0.002997342,66.3818,76.6516,4.0995,16,0.00028482,5,0,0
1,17,12,640,116.6142,0.004344588,0.00041377,5,0,0.000510317,0.003668763,50.0981,65.2932,5.0451,19,0.0011999,7,5.52E-05,6.90E-05
1,31,10,400,92.7906,0.001371832,0.00024497,2,0,0.000146982,0.002025085,61.5935,86.7742,8.3548,11,0.0029233,5,0,0
1,24,36,450,85.9146,0.000992613,0.000300092,10,3.46E-05,0.000265466,0.003462604,84.6823,64.3867,4.3,26,0.0010388,7,0,0
1,23,28,1250,68.0034,0.003175411,0.000424016,4,0,0.000263832,0.003382708,59.2067,67.5655,2.9721,21,0.00045228,9,7.54E-05,6.60E-05
1,18,2,300,75.2184,0.001078461,0.000431385,5,0,0.000164941,0.003704832,32.9072,56.7397,3.5616,20,0.00081202,7,0,0.00015225
1,18,20,500,96.3384,0.001711994,0.000134514,4,2.45E-05,0.000904911,0.002665819,42.8571,75.945,6.1009,23,0.0013207,7,0,0
1,25,4,150,119.1336,0.005977659,0.000415436,3,4.62E-05,0.000346197,0.002146418,70.3913,76.043,7.7419,12,0.0010155,5,0,0.0001154
1,19,20,12,57.1536,0.001583891,0.000332285,5,1.11E-05,0.000265828,0.003189934,61.4216,81.3611,3.0174,17,0.00086394,7,0,5.54E-05
1,35,14,1300,38.6472,0.000264364,0.000107704,0,9.79E-06,0.00015666,0.002457604,54.496,100.988,2.9482,20,0.00054831,7,0,0
1,25,12,1300,80.4594,0.000722767,0.000567889,5,0.000129066,0.000180692,0.002581311,41.2929,69.04,5.72,17,0.00077439,3,0,0.00015488
1,18,10,75,61.7286,0.001311324,0.000154273,5,0,0.000138846,0.002884912,49.914,95.2086,3.6738,21,0.0010491,7,0,4.63E-05
1,22,4,174,48.1782,0.000454835,0.000151612,3,0,0.000197095,0.002425786,42.0313,92.35,3.8,27,0.00033355,9,0,0
1,17,16,250,50.0004,0.000318291,0.000176828,2,0,0.000106097,0.001980478,99.7818,115,4.5893,12,0.00038902,2,0,0
1,16,10,730,125.4156,0.002470554,0.000173212,8,0,0.000437589,0.004075047,31.6233,50.0134,5.0828,28,0.001413,9,7.29E-05,4.56E-05
1,23,4,20,53.4696,0.000396063,6.00E-05,3,4.80E-05,0.000432069,0.001644263,86.3529,132.2628,6.1241,19,0.0010202,6,0,0
1,19,20,6000,102.0114,0.002045134,0.000317348,5,4.41E-05,0.00055536,0.00303244,62.5423,67.314,6.3605,24,0.0014104,6,0.000238011,0.0019482
1,27,4,400,73.2168,0.001578561,0.000881057,2,3.67E-05,1.22E-05,0.002520803,34.7902,69.2621,4.8058,17,0.0005629,3,0,0
1,23,28,730,74.4258,1.54E-05,7.71E-05,4,4.63E-05,0.000231324,0.001727222,47.0631,75.1071,8.1518,12,0.00083277,5,0,0.00016964
1,20,10,50,38.3322,0.000508373,0.000318979,1,0,4.98E-05,0.001973684,60.3452,113.4141,3.4949,22,0.00025917,5,0,0
1,16,12,120,64.3296,0.000771629,5.40E-05,3,0,1.54E-05,0.003649804,56.4322,66.4609,3.0021,29,0.0003318,6,3.86E-05,1.54E-05
1,17,28,700,116.5002,0.002055978,0.000285073,2,8.64E-06,0.000509675,0.003472702,38.1347,54.2388,6.0697,29,0.00097616,10,8.64E-06,2.59E-05
1,19,20,730,91.308,0.003788959,0.000383354,4,3.57E-05,0.00022288,0.003093574,42.0578,78.6052,4.4265,21,0.00074888,5,0,0
1,18,10,150,63.1158,0.001471607,0.00017313,5,0,2.16E-05,0.002596953,51.7983,82.3,4.0917,13,0.00056267,4,0,0
1,22,20,60,94.7502,0.00147634,0.000312867,5,2.93E-05,0.000889715,0.003412202,43.4138,56.1948,5.1232,28,0.00064529,7,0.000205319,0.0011146
1,18,24,100,37.9656,6.27E-06,3.76E-05,2,7.53E-05,6.27E-05,0.00204481,76.8738,122.5767,3.5982,41,0.00039516,8,0,1.25E-05
1,23,8,700,149.4762,0.005782774,0.000209989,7,0,0.000355366,0.003828261,45.7627,54.2616,5.5401,23,0.0014538,6,0,0
1,16,12,600,88.4238,0.001443869,0.000427584,4,0.000136331,0.000873758,0.0027638,39.4067,70.1704,6.5695,26,0.0007994,8,0.000154922,0.00068165
1,20,8,400,155.2386,0.005187614,0.000551016,7,2.69E-05,6.72E-05,0.004099022,21.3289,47.5148,6.2492,19,0.001008,6,0,1.34E-05
1,18,12,450,78.825,4.55E-05,0.000204732,3,0,0.000636943,0.003184713,45.6978,72.9714,4.6786,7,0.00034122,4,0,0
1,16,12,300,75.3048,0.001202415,6.40E-05,3,0.000127917,0.000460499,0.002737413,65.1643,89.7196,4.3879,30,0.00099775,7,0,0
1,16,6,800,104.8044,0.002824165,0.00024558,4,0,0.000785855,0.002603143,42.4,77.6981,6.7642,15,0.00088409,5,0,0
1,20,10,50,43.3884,0.000340515,0.000216691,4,0,0.000216691,0.001965701,26.381,73.8898,4.1339,12,0.00065007,7,0,0.00010835
1,28,24,105,60.4554,0.000951544,0.000229683,2,1.97E-05,0.000150935,0.002454326,43.9357,89.0267,4.5829,23,0.00036093,7,0,0
1,20,24,325,137.3052,0.007369852,0.000365879,1,2.61E-05,0.000209074,0.003292912,31.392,61.1429,5.4286,16,0.00073176,5,0,0
1,38,16,300,71.595,0.000276968,2.92E-05,2,0.000174927,0.000233236,0.002084548,30.5634,76.4476,6.4336,15,0.001414,6,0,0
1,17,20,25,118.2024,0.002021316,0.000336886,3,0,0.000949406,0.003613868,35.5897,49.7288,5.5678,17,0.00055127,3,0,0
1,31,8,750,89.2404,0.000605296,5.15E-05,2,0,2.58E-05,0.003554502,43.7527,60.5072,4.4384,14,0.00079848,6,0,3.86E-05
1,32,4,200,51.0426,0.000251699,0.00012585,3,0,0.000409011,0.001667506,34.9231,77.8113,5.566,9,0.00078656,4,0,0
1,21,12,200,62.004,0.001691475,0.000302049,5,0,0.000157066,0.002899671,58.9289,85.7667,3.5583,14,0.0006041,7,0,0.00019331
1,33,6,300,52.0476,0.003101545,0.000386314,6,0,7.73E-05,0.002737307,112.9393,83.1613,2.5524,35,0.00054084,7,0,0.00012141
1,16,20,85,89.1858,0.003983716,0.000232626,0,0,5.82E-05,0.002791509,41.3403,77.0625,4.7135,16,0.00077057,5,0,0
1,17,8,125,87.4092,0.000751315,0.000187829,4,0,0.000532181,0.003130478,45.2121,84.76,4.96,9,0.00081392,3,0,0
1,23,30,400,97.1082,0.005009945,0.00019702,10,0,0.000281458,0.003067888,46.4294,82.5566,4.4098,19,0.00058168,5,0,0
1,28,24,100,63.8712,0.000153388,6.57E-05,4,0,0.000109563,0.002180296,61.0505,99.0955,5.6432,25,0.0011066,5,0,0
1,20,28,500,116.5722,0.003454711,0.000441295,2,0.000138693,5.04E-05,0.002925156,34.2338,75.0517,6.5129,25,0.0013239,6,0,0
1,22,12,700,93.645,0.001352279,0.000383482,8,7.06E-05,0.000565131,0.00278529,36.5818,85.0725,5.8551,27,0.0019073,7,0,0
1,17,6,250,114.5232,0.001473019,0.000206623,2,0.0001,0.000433241,0.003632558,31.4632,55.5009,5.5174,31,0.00087981,7,0.000106644,3.33E-05
1,19,20,400,107.6016,0.001033542,0.000213102,1,5.33E-05,0.000543409,0.003782551,29.2203,53.7352,4.9155,19,0.0004262,7,0,0.00038358
1,17,10,100,63.9612,0.001735808,0.0005131,4,3.28E-05,0.000414847,0.00279476,60.3137,74.375,3.8984,21,0.0006441,8,0.000152838,0.00028384
1,21,16,500,101.6526,0.001983008,0.000237961,2,0.000123387,0.000299655,0.002388423,23.1259,72.2214,7.3247,22,0.00097828,8,0,0
1,17,8,400,94.158,0.001703224,0.000145397,3,0,0.00020771,0.002907943,26.9928,63.6286,5.6714,18,0.0022017,5,0,0
1,17,28,20,91.2876,0.003119466,0.000543391,7,0,8.05E-05,0.002877959,22,59.4126,4.9371,14,0.00090565,6,0,8.05E-05
1,16,16,730,94.1658,0.000752432,0.000174984,3,3.50E-05,0.00022748,0.003919647,45.5426,63.0357,4.2545,22,0.0011899,7,1.75E-05,3.50E-05
1,18,8,150,84.5352,0.002354788,0.000160554,4,3.57E-05,0.000196232,0.003246753,68.1989,63.5824,4.2198,22,0.00067789,5,0,0
1,17,2,70,47.4726,0.000148177,4.94E-05,2,0,0.000740887,0.002247358,60.4889,111.0769,4.044,12,0.00044453,4,0,0
1,22,28,800,89.5602,0.001971103,8.25E-05,0,8.25E-05,0.000366717,0.002585353,62.9466,76.227,6.0035,29,0.0011918,9,0.000165023,0.00028421
1,20,20,238,78.0456,0.001024557,0.000303269,5,1.64E-05,4.92E-05,0.002811383,34,82.449,5.0087,19,0.0006885,7,5.74E-05,0
1,27,8,280,55.047,0.000642809,0.000126454,0,7.38E-05,9.48E-05,0.002529085,62.8452,83.8667,3.9333,22,0.00052689,6,0,0.00017914
1,30,6,650,53.6844,0.003303244,0.000457876,5,0,1.64E-05,0.001929618,43.5214,98.7458,3.7288,14,0.00063776,4,0,0
1,18,4,50,62.7888,0.001243698,0.000319328,2,0,3.36E-05,0.003344538,43.8788,64.2814,3.2161,18,0.00060504,6,0,0
1,20,6,350,90.081,0.001066033,0.000243665,3,6.09E-05,0.000517788,0.002314815,67.4667,64.2105,6.8684,18,0.00091374,5,0,0
1,22,8,250,131.6652,0.002360747,0.000124797,5,0,0.000592787,0.004971089,29.6855,43.7238,4.1632,24,0.0011024,8,0,0
1,16,4,350,83.5818,0.001256717,0.000390016,4,2.17E-05,0.000541688,0.002361761,30.5926,74.2752,6.2385,16,0.00043335,3,0,0
1,17,20,200,68.1786,0.000630858,9.01E-05,4,5.15E-05,6.44E-05,0.002497683,50.0933,79.6495,4.8763,22,0.00034762,3,0,0
1,22,4,250,89.064,0.003072445,0.000559757,5,2.49E-05,4.98E-05,0.003694398,46.3784,58.8687,3.7306,24,0.0007339,6,0,0.00021146
1,33,8,120,55.1292,0.001648352,0.000497616,1,7.26E-05,0.000352478,0.001886793,53.1271,95.9341,4.8736,25,0.00059092,8,0.000176239,4.15E-05
1,18,10,300,99.705,0.002241594,0.000300955,7,1.04E-05,0.000487754,0.003569946,53.4111,63.314,4.7384,24,0.0010689,9,0.0001868,5.19E-05
1,25,10,400,75.2358,0.001032018,0.000201369,1,0,0.000629279,0.002064035,28.9383,91.4634,6.5,10,0.0017872,5,0,2.52E-05
1,20,16,80,92.1876,0.000993291,0.000276819,1,0.000879307,0.00047222,0.002344819,39.4126,81.75,6.9236,13,0.00094444,5,0,3.26E-05
1,23,20,216,54.405,0.002137069,0.000356178,1,0.00018551,0.000237452,0.002255795,37.6634,96.2237,3.8487,25,0.00059363,8,0,4.45E-05
1,24,16,500,76.944,0.000662475,0.000233815,1,2.60E-05,2.60E-05,0.003507222,32.7435,57.0074,3.9556,17,0.00054557,4,0,0
1,18,24,900,46.5588,0.000420496,0.000165195,3,1.50E-05,7.51E-05,0.002222623,42.0136,95.027,3.8108,13,0.00058569,5,0,0.00010512
1,25,16,40,47.358,0.002005835,0.000364697,4,0,0,0.002334063,64.9134,90.25,3.1016,23,0.00060175,5,0,0
1,26,8,730,93.5688,0.000646802,6.69E-05,2,0,6.69E-05,0.003367829,42.4533,65.1391,4.9669,17,0.001472,5,0,0
1,34,24,2000,69.3036,0.000339905,0.000203943,4,0,0.000135962,0.003399048,49.697,79.56,3.63,20,0.0010877,4,0,0
1,18,6,230,69.5076,0.00017507,0.000204248,4,5.84E-05,0.000204248,0.001458917,45.0612,112.96,9.14,11,0.00058357,4,0,0
1,21,6,300,88.4328,0,0,0,3.03E-05,0.00034895,0.002730914,26.324,64.6667,6.0333,19,0.00077376,5,0,0
1,27,2,250,37.7802,0,4.32E-05,1,0,0.000330821,0.002517116,60.6897,106.3771,2.8629,12,0.00031644,5,0,0
1,19,28,450,50.9904,0.00014795,6.09E-05,6,0,0.000243682,0.002497737,57.9441,87.0941,3.9652,22,0.00056569,8,0,4.35E-05
1,17,10,500,87.4632,0.001731846,7.37E-05,2,0,0.000221087,0.002444237,49.5152,96.7236,6.0804,20,0.00023337,5,0,0
1,26,2,200,57.9156,0.0014153,0.000136087,5,7.26E-05,0.000326608,0.001587676,80.3218,128.16,6.2286,23,0.00054435,7,0,0
1,27,8,300,53.7174,0.001570296,0.000396243,1,0,7.34E-05,0.002729674,68.1514,91.0753,3.1613,16,0.00055768,5,0,0
1,24,8,700,81.03,0.002013609,0.000335602,7,9.26E-05,0.000335602,0.002881544,50.8387,70.5703,4.5783,24,0.00069435,4,0,0
1,25,14,500,104.1798,0.004128264,0.000408026,3,4.80E-05,3.60E-05,0.003360215,37.4337,67.7571,4.7714,24,0.0012961,4,0,0
1,19,8,300,66.093,0.00088513,0.000442565,3,0,0.000221283,0.001548977,31.0323,102.0317,7.6032,11,0.00051633,5,0,4.92E-05
1,22,4,300,90.4908,0.001255937,0.000251187,3,0,0.000411034,0.002671721,66.2414,65.641,5.9402,21,0.00061655,4,0,0
1,35,8,500,84.24,0.002889498,0.000482881,6,0.000218075,0.000225864,0.003691704,52.203,67.2405,3.3755,27,0.00089567,7,0,4.67E-05
1,22,20,300,63.7248,0.002390509,0.000280368,1,0.00011805,0.000442687,0.001815016,47.6721,133.3984,6.0407,16,0.001151,6,0,2.95E-05
1,31,12,300,72.0948,0.003530229,0.000104239,1,3.47E-05,0.000319666,0.00228631,73.9634,89.1793,3.7356,37,0.00042391,7,0,0
1,26,4,200,114.315,0.001878964,0.000445304,2,9.77E-05,0.000249805,0.002975932,32.0733,63.781,6.9854,22,0.0014988,6,0,0
1,38,6,1000,119.4366,0.004952043,5.21E-05,2,8.69E-05,3.48E-05,0.002727968,54.8718,79.2102,6.2293,21,0.0014943,5,0,0
1,16,6,300,62.1174,3.31E-05,4.41E-05,3,1.10E-05,0.000198334,0.003581031,39.6049,64.2462,3.2646,19,0.00049583,5,0,0
1,23,10,730,122.8854,7.10E-05,4.06E-05,2,0.000223151,0.000476731,0.003377693,25.5904,58.1862,6.7538,24,0.00069988,8,0,0
1,21,4,180,64.2906,0.000447793,9.88E-05,5,5.93E-05,0.000625593,0.003450637,55.7017,71.2443,3.4733,27,0.00045438,12,0.000493889,0.00032926
1,23,6,300,78.2034,0.001837592,0.000525026,7,7.29E-05,0.000233345,0.004375219,41.3378,56.28,3.0633,13,0.00080212,7,0.000102088,0.00024793
1,26,6,500,85.9506,0.001869765,0.000373953,6,0.000216062,0.000357333,0.00255119,53.5556,88.4691,6.1987,30,0.0012299,8,0,0
1,20,12,551,69.6228,0.002171327,0.000334622,2,0,0.000193337,0.00333135,52.2774,70.8571,3.4219,27,0.0006395,9,0.000208209,0.00027513
1,26,16,100,70.9566,0.001965626,0.000430488,6,0.000105592,0.000438611,0.003224601,41.1212,66.0252,3.5164,29,0.00055232,8,0,0.00022743
